날짜,종가,전일비,시가,고가,저가,거래량,종목코드,종목명
2020.10.16,153500.0,1500.0,153000.0,159000.0,153000.0,486968.0,352820,하이브
2020.10.15,152000.0,1000.0,153000.0,153000.0,146500.0,402884.0,352820,하이브
2020.10.14,153000.0,5500.0,166500.0,170000.0,152500.0,1784912.0,352820,하이브
2020.10.13,147500.0,2500.0,151000.0,151500.0,146000.0,301158.0,352820,하이브
2020.10.12,150000.0,2500.0,149000.0,150000.0,147500.0,369263.0,352820,하이브
2020.09.21,167500.0,4000.0,171500.0,172000.0,165500.0,210008.0,352820,하이브
2020.09.18,171500.0,1000.0,170500.0,172000.0,169000.0,139378.0,352820,하이브
2020.09.17,170500.0,500.0,170000.0,171500.0,169000.0,192071.0,352820,하이브
2020.09.16,170000.0,1500.0,170500.0,173000.0,170000.0,209954.0,352820,하이브
2020.09.15,171500.0,1000.0,172000.0,173000.0,170500.0,213266.0,352820,하이브
2020.09.14,170500.0,4500.0,174500.0,174500.0,169000.0,369858.0,352820,하이브
2020.09.11,175000.0,9500.0,180500.0,182500.0,173000.0,827865.0,352820,하이브
2020.09.10,184500.0,6500.0,194000.0,194500.0,184500.0,1216687.0,352820,하이브
2020.09.09,191000.0,3000.0,184500.0,194000.0,181000.0,752071.0,352820,하이브
2020.09.08,188000.0,3500.0,193000.0,197000.0,187000.0,688213.0,352820,하이브
2020.08.24,168000.0,5500.0,160000.0,168500.0,155000.0,390851.0,352820,하이브
2020.08.21,162500.0,4500.0,169000.0,169500.0,159500.0,396107.0,352820,하이브
2020.08.20,167000.0,5000.0,171000.0,174000.0,165500.0,321586.0,352820,하이브
2020.08.19,172000.0,1000.0,170500.0,175000.0,170500.0,251460.0,352820,하이브
2020.08.18,171000.0,7500.0,175000.0,178000.0,170500.0,429385.0,352820,하이브
2020.08.14,178500.0,7500.0,184000.0,184000.0,177500.0,512876.0,352820,하이브
2020.08.13,186000.0,5000.0,192000.0,193000.0,184500.0,491263.0,352820,하이브
2020.08.12,191000.0,500.0,193000.0,195500.0,188000.0,419642.0,352820,하이브
2020.08.11,191500.0,1000.0,196000.0,196500.0,190000.0,547133.0,352820,하이브
2020.08.10,192500.0,13500.0,185500.0,196000.0,184500.0,1791403.0,352820,하이브
2020.07.24,189000.0,2500.0,184500.0,194500.0,183000.0,806058.0,352820,하이브
2020.07.23,186500.0,1500.0,189000.0,190500.0,183000.0,572644.0,352820,하이브
2020.07.22,188000.0,2500.0,192000.0,205000.0,188000.0,2269779.0,352820,하이브
2020.07.21,185500.0,1500.0,186500.0,189000.0,184500.0,564184.0,352820,하이브
